1;Smith;Anna;4376902123;a_smith@gmail.com
2;Johnson;Brian;4376923456;b_johnson@gmail.com
3;Williams;Chloe;4376934567;c_williams@gmail.com
4;Brown;Daniel;4376945678;d_brown@gmail.com
5;Jones;Ella;4376956789;e_jones@gmail.com
6;Garcia;Frank;4376967890;f_garcia@gmail.com
7;Martinez;Grace;4376978901;g_martinez@gmail.com
8;Davis;Harry;4376989012;h_davis@gmail.com
9;Rodriguez;Isla;4376990123;i_rodriguez@gmail.com
10;Lee;Jack;4376901234;j_lee@gmail.com
11;Thomas;Kelyn;7802287549;thomaskelyn4@gmail.com
12;Goliath;Ethan;7805015418;g_ethan@gmail.com
13;Usyk;Alexander;7805545526;u_alex@gmail.com
